Symbol,Date,Open,High,Low,Adj Close,Volume
AAPL,16/04/2015,126.279999,127.099998,126.110001,122.460684,28369000
AAPL,15/04/2015,126.410004,127.129997,126.010002,123.052751,28970400
AAPL,14/04/2015,127.0,127.290001,125.910004,122.586867,25524600
AAPL,13/04/2015,128.369995,128.570007,126.610001,123.120693,36365100
AAPL,10/04/2015,125.949997,127.209999,125.260002,123.363343,40188000
AAPL,09/04/2015,125.849998,126.580002,124.660004,122.839218,32484000
AAPL,08/04/2015,125.849998,126.400002,124.970001,121.907442,37329200
AAPL,07/04/2015,127.639999,128.119995,125.980003,122.305392,35012300
AAPL,06/04/2015,124.470001,127.510002,124.330002,123.605993,37194000
AAPL,02/04/2015,125.029999,125.559998,124.190002,121.635675,32220100
AAPL,01/04/2015,124.82,125.120003,123.099998,120.597133,40621400
AAPL,31/03/2015,126.089996,126.489998,124.360001,120.771841,42090600
AAPL,30/03/2015,124.050003,126.400002,124.0,122.654809,47099700
AAPL,27/03/2015,124.57,124.699997,122.910004,119.626532,39546200
AAPL,26/03/2015,122.760002,124.879997,122.599998,120.587424,47572900
AAPL,25/03/2015,126.540001,126.82,123.379997,119.752707,51655200
AAPL,24/03/2015,127.230003,128.039993,126.559998,122.965401,32842300
AAPL,23/03/2015,127.120003,127.849998,126.519997,123.47011,37709700
AAPL,20/03/2015,128.25,128.399994,125.160004,122.198625,68695100
AAPL,19/03/2015,128.75,129.25,127.400002,123.751585,45809500
AAPL,18/03/2015,127.0,129.160004,126.370003,124.693069,65270900
AAPL,17/03/2015,125.900002,127.32,125.650002,123.305109,51023100
AAPL,16/03/2015,123.879997,124.949997,122.870003,121.27655,35874300
AAPL,13/03/2015,124.400002,125.400002,122.580002,119.956533,51827300
AAPL,12/03/2015,122.309998,124.900002,121.629997,120.79125,48362700
AAPL,11/03/2015,124.75,124.769997,122.110001,118.646223,68939000
AAPL,10/03/2015,126.410004,127.220001,123.800003,120.849491,68856600
AAPL,09/03/2015,127.959999,129.570007,125.059998,123.402168,88528500
AAPL,06/03/2015,128.399994,129.369995,126.260002,122.878043,72842100
AAPL,05/03/2015,128.580002,128.75,125.760002,122.693634,56517100
AAPL,04/03/2015,129.100006,129.559998,128.320007,124.761003,31666300
AAPL,03/03/2015,128.960007,129.520004,128.089996,125.556903,37816300
AAPL,02/03/2015,129.25,130.279999,128.300003,125.294836,48096700
AAPL,27/02/2015,130.0,130.570007,128.240005,124.683368,62014800
AAPL,26/02/2015,128.789993,130.869995,126.610001,126.585737,91287500
AAPL,25/02/2015,131.559998,131.600006,128.149994,125.003653,74711700
AAPL,24/02/2015,132.940002,133.600006,131.169998,128.284288,69228100
AAPL,23/02/2015,130.020004,133.0,129.660004,129.089888,70974100
AAPL,20/02/2015,128.619995,129.5,128.050003,125.692786,48948400
AAPL,19/02/2015,128.479996,129.029999,128.330002,124.673652,37362400
AAPL,18/02/2015,127.629997,128.779999,127.449997,124.935719,44891700
AAPL,17/02/2015,127.489998,128.880005,126.919998,124.071885,63152400
AAPL,13/02/2015,127.279999,127.279999,125.650002,123.343934,54272200
AAPL,12/02/2015,126.059998,127.480003,125.57,122.742159,74474500
AAPL,11/02/2015,122.769997,124.919998,122.5,121.208608,73561800
AAPL,10/02/2015,120.169998,122.150002,120.160004,118.43269,62008500
AAPL,09/02/2015,118.550003,119.839996,118.43,116.200313,38889800
AAPL,06/02/2015,120.019997,120.25,118.449997,115.433537,43706600
AAPL,05/02/2015,120.019997,120.230003,119.25,116.413846,42246200
AAPL,04/02/2015,118.5,120.510002,118.309998,115.588828,70149700
AAPL,03/02/2015,118.5,119.089996,117.610001,114.709057,51915700
AAPL,02/02/2015,118.050003,119.169998,116.080002,114.689718,62739100
AAPL,30/01/2015,118.400002,120.0,116.849998,113.26855,83745500
AAPL,29/01/2015,116.32,119.190002,115.559998,114.950754,84436400
AAPL,28/01/2015,117.629997,118.120003,115.309998,111.479991,146477100
AAPL,27/01/2015,112.419998,112.480003,109.029999,105.514929,95568700
AAPL,26/01/2015,113.739998,114.360001,112.800003,109.343397,55615000
AAPL,23/01/2015,112.300003,113.75,111.529999,109.227388,46464800
AAPL,22/01/2015,110.260002,112.470001,109.720001,108.66665,53796400
AAPL,21/01/2015,108.949997,111.059998,108.269997,105.911314,48575900
AAPL,20/01/2015,107.839996,108.970001,106.5,105.108881,49899900
AAPL,16/01/2015,107.029999,107.580002,105.199997,102.469554,78513300
AAPL,15/01/2015,110.0,110.059998,106.660004,103.271988,60014000
AAPL,14/01/2015,109.040001,110.489998,108.5,106.153011,48337000
AAPL,13/01/2015,111.43,112.800003,108.910004,106.559059,67091900
AAPL,12/01/2015,112.599998,112.629997,108.800003,105.621276,49650800
AAPL,09/01/2015,112.669998,113.25,110.209999,108.289605,53699500
AAPL,08/01/2015,109.230003,112.150002,108.699997,108.173588,59364500
AAPL,07/01/2015,107.199997,108.199997,106.699997,104.171098,40105900
AAPL,06/01/2015,106.540001,107.43,104.629997,102.73059,65797100
AAPL,05/01/2015,108.290001,108.650002,105.410004,102.72092,64285500
AAPL,02/01/2015,111.389999,111.440002,107.349998,105.69862,53204600
AAPL,31/12/2014,112.82,113.129997,110.209999,106.71374,41403400
AAPL,30/12/2014,113.639999,113.919998,112.110001,108.78266,29881500
TSLA,11/08/2016,226.169998,227.570007,223.410004,224.910004,1875800
TSLA,10/08/2016,228.240005,229.869995,224.619995,225.649994,2308400
TSLA,09/08/2016,226.820007,231.539993,226.649994,229.080002,2193900
TSLA,08/08/2016,228.0,229.600006,226.089996,226.160004,2263600
TSLA,05/08/2016,230.0,232.0,227.399994,230.029999,3205200
TSLA,04/08/2016,225.690002,230.860001,222.050003,230.610001,4147000
TSLA,03/08/2016,227.369995,229.699997,224.210007,225.789993,3887800
TSLA,02/08/2016,229.369995,229.869995,221.399994,227.199997,3934400
TSLA,01/08/2016,235.5,236.630005,229.380005,230.009995,4016300
TSLA,29/07/2016,230.699997,235.279999,230.240005,234.789993,3070800
TSLA,28/07/2016,227.949997,230.759995,226.600006,230.610001,2419100
TSLA,27/07/2016,229.339996,233.360001,226.919998,228.490005,2889000
TSLA,26/07/2016,227.690002,230.0,225.300003,229.509995,3430000
TSLA,25/07/2016,222.270004,231.389999,221.369995,230.009995,4490700
TSLA,22/07/2016,221.990005,224.5,218.880005,222.270004,2579700
TSLA,21/07/2016,226.0,227.850006,219.100006,220.5,4428700
TSLA,20/07/2016,226.470001,229.800003,225.0,228.360001,2568500
TSLA,19/07/2016,225.0,229.100006,224.75,225.259995,3115100
TSLA,18/07/2016,219.639999,227.089996,218.300003,226.25,3412100
